Country,Overall_Score,Peace_Conflict,Freedom_Oppression,Prosperity_Poverty,Stability_Chaos,Progress_Stagnation
Oman,6.3,5.2,6.5,7.1,6.3,6.9
Saudi_Arabia,4.8,4.5,3.0,6.5,4.5,6.0
Bangladesh,4.8,3.5,4.0,6.5,4.5,6.0
Barbados,4.5,3.5,3.0,5.5,5.0,6.5
Grenada,3.9,3.5,3.0,4.5,4.0,5.0
Guyana,5.2,4.2,4.8,5.5,5.9,6.3
Jamaica,4.4,3.5,4.0,5.5,4.5,5.0
Trinidad_and_Tobago,5.8,4.8,5.5,6.5,6.2,6.9
Belarus,3.6,3.5,2.5,5.0,3.0,4.5
Lithuania,5.7,4.5,5.5,6.5,5.0,7.5
Norway,6.7,5.5,6.5,7.8,6.9,7.2
Ukraine,4.3,3.5,4.0,5.0,4.0,5.5
Burundi,3.2,3.5,2.8,3.0,3.2,3.8
Rwanda,4.1,3.0,3.5,5.5,4.0,5.0
Belize,5.8,4.8,6.1,5.9,6.5,6.3
Guatemala,4.6,4.0,3.5,5.8,4.2,6.5
Honduras,4.4,4.0,4.5,5.0,3.5,5.0
Mexico,5.7,4.8,5.5,6.2,5.8,6.5
Benin,4.4,3.5,4.0,5.0,4.5,5.5
North_Korea,3.6,3.5,2.8,4.1,3.9,4.3
Bhutan,5.5,4.5,5.5,5.8,6.0,6.5
Maldives,6.0,5.5,6.0,6.5,6.0,6.5
Nepal,5.4,4.5,5.5,5.8,4.8,6.5
Sri_Lanka,4.7,4.0,4.5,5.5,4.0,6.0
Ecuador,5.4,4.8,5.5,6.0,4.9,6.2
Panama,5.6,4.5,6.0,6.5,5.0,6.5
Croatia,5.0,3.5,5.0,6.0,4.5,6.5
Sweden,6.5,4.5,7.0,7.5,6.5,7.5
Botswana,6.4,5.5,6.5,7.0,6.0,7.5
Eswatini,3.9,3.5,3.0,4.5,4.0,5.0
Lesotho,4.0,3.5,4.0,4.5,4.0,4.0
Namibia,5.2,3.5,5.5,5.8,5.2,6.5
Uruguay,5.7,4.0,6.0,6.5,5.5,7.0
Brunei,6.1,5.5,5.0,7.5,6.0,7.0
Cambodia,4.4,3.5,4.0,5.5,4.5,5.0
Fiji,4.3,3.5,4.0,5.5,4.0,5.0
Malaysia,5.3,4.0,5.5,6.5,5.0,6.0
Burkina_Faso,3.8,4.0,4.0,3.0,3.0,5.0
Ivory_Coast,4.7,3.5,4.0,6.0,4.0,6.5
Senegal,6.0,5.5,6.2,5.8,6.0,6.5
Sudan,3.2,3.5,2.8,3.9,2.5,3.0
Somalia,4.0,3.5,3.8,4.2,3.9,5.2
Uganda,4.1,3.5,3.0,5.5,4.0,5.0
Tanzania,5.6,4.5,5.0,6.0,6.5,6.8
Laos,4.2,4.0,3.0,5.0,4.0,6.0
Thailand,5.2,4.5,5.0,6.5,4.0,6.0
Cameroon,4.3,3.5,4.0,5.5,4.0,5.0
Chad,3.1,3.0,2.5,4.0,3.0,3.5
Cape_Verde,4.6,4.0,5.0,4.5,4.5,5.5
Guinea-Bissau,3.2,3.5,3.0,4.0,2.5,3.0
Central_African_Republic,3.1,3.1,2.5,3.8,2.9,3.3
Nicaragua,3.6,3.5,2.8,4.2,3.9,3.7
Mongolia,5.2,5.5,5.0,4.8,4.9,6.0
Haiti,2.3,2.5,2.0,3.0,2.0,2.0
Comoros,3.7,3.0,3.5,4.5,3.0,5.0
Kenya,5.7,4.8,5.5,6.2,5.9,6.5
Madagascar,4.6,4.0,5.0,4.5,4.0,5.5
Mauritius,5.5,3.5,6.0,6.5,6.5,6.0
Costa_Rica,7.0,6.5,7.8,6.2,7.5,7.3
El_Salvador,4.1,3.5,3.0,5.5,4.0,5.0
Dominican_Republic,4.6,3.5,4.0,6.0,4.5,5.5
Ethiopia,5.0,4.2,4.8,5.5,4.9,6.1
Cyprus,4.7,4.1,4.5,5.8,4.0,5.2
Czech_Republic,6.1,4.5,6.5,7.0,5.8,7.5
Slovakia,5.9,5.5,5.8,6.5,5.2,6.7
South_Sudan,2.8,2.1,3.0,3.5,2.5,3.2
Togo,4.2,3.5,3.0,5.5,4.5,5.0
Estonia,5.6,4.2,5.5,6.5,5.0,7.2
Djibouti,5.7,4.2,6.1,5.8,6.5,6.3
Eritrea,4.3,3.5,3.0,5.5,4.0,6.5
Dominica,5.0,5.0,4.0,5.5,5.0,6.0
Equatorial_Guinea,3.0,3.5,2.1,4.0,3.0,2.5
Liberia,4.0,3.5,4.0,4.5,3.0,5.5
Sierra_Leone,4.1,3.5,4.0,4.5,3.8,5.2
Finland,6.5,4.5,7.0,7.0,7.0,7.5
Latvia,5.2,4.0,5.0,6.0,5.5,6.5
Romania,4.8,3.5,4.8,5.5,4.9,6.2
Samoa,6.0,5.5,6.0,6.5,5.5,6.5
Solomon_Islands,4.5,3.5,4.8,5.2,4.0,5.5
Tonga,5.8,5.5,6.5,5.5,6.0,5.0
North_Macedonia,5.0,4.5,5.0,5.5,5.0,5.5
Myanmar,3.7,3.5,3.0,4.5,3.0,5.0
Turkmenistan,3.9,3.5,2.5,5.0,4.0,5.0
Kazakhstan,5.6,4.8,5.5,6.0,5.8,6.2
Zambia,5.8,4.5,6.0,6.5,6.0,6.5
Kiribati,4.9,4.0,5.5,4.8,5.0,5.2
Nauru,5.8,4.2,5.5,7.1,6.3,6.8
Tuvalu,6.2,5.5,7.0,5.8,6.5,6.0
Kyrgyzstan,4.6,3.5,5.0,5.5,4.0,5.0
Tajikistan,3.6,3.5,3.0,4.5,3.5,4.0
United_Arab_Emirates,6.2,4.8,5.5,7.2,6.5,7.8
Malawi,5.5,5.0,5.5,6.0,5.0,6.5
Marshall_Islands,4.6,3.5,5.0,4.5,5.5,5.0
Micronesia,5.9,5.8,6.5,5.2,6.1,6.0
Palau,5.2,4.0,6.0,5.0,5.0,6.0
Seychelles,6.1,5.5,5.8,6.5,6.2,6.9
Vanuatu,5.4,4.8,5.2,6.1,5.5,5.9
Monaco,6.7,5.5,6.5,7.8,6.9,7.2
Suriname,4.4,4.0,3.5,5.5,4.5,5.0
South_Korea,5.2,4.0,5.5,6.5,4.5,6.0
Papua_New_Guinea,5.0,4.8,4.5,5.5,5.0,5.2
Saint_Kitts_and_Nevis,5.1,3.5,5.0,5.5,6.0,6.5
Saint_Lucia,5.3,3.5,5.5,6.0,5.8,6.5
Saint_Vincent_and_the_Grenadines,5.3,4.5,5.0,5.5,5.8,6.2
San_Marino,7.3,7.2,7.8,6.5,7.9,7.3
The_Gambia,4.9,4.0,5.5,5.0,5.0,5.0
São_Tomé_and_Príncipe,5.0,4.0,4.5,5.5,5.0,6.5
The_Bahamas,5.3,4.0,5.5,6.5,5.0,6.0
Timor-Leste,4.0,3.5,3.0,4.5,4.0,5.5
